speed_ms,road_grade_rad
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.925926,0.000000
1.851852,0.000000
2.777778,0.000000
3.703704,0.000000
4.629630,0.000000
5.555556,0.000000
6.481481,0.000000
7.407407,0.000000
8.333333,0.000000
8.333333,0.000000
8.333333,0.000000
8.333333,0.000000
8.333333,0.000000
8.333333,0.000000
8.333333,0.000000
8.333333,0.000000
8.333333,0.000000
8.333333,0.000000
8.333333,0.000000
8.333333,0.000000
8.333333,0.000000
7.142857,0.000000
5.952381,0.000000
4.761905,0.000000
3.571429,0.000000
2.380952,0.000000
1.190476,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
1.041667,0.000000
2.083333,0.000000
3.125000,0.000000
4.166667,0.000000
5.208333,0.000000
6.250000,0.000000
7.291667,0.000000
8.333333,0.000000
9.375000,0.000000
10.416667,0.000000
11.458333,0.000000
12.500000,0.000000
12.500000,0.000000
12.500000,0.000000
12.500000,0.000000
12.500000,0.000000
12.500000,0.000000
12.500000,0.000000
12.500000,0.000000
12.500000,0.000000
12.500000,0.000000
12.500000,0.000000
12.500000,0.000000
12.500000,0.000000
12.500000,0.000000
12.500000,0.000000
12.500000,0.000000
12.500000,0.000000
12.500000,0.000000
12.500000,0.000000
12.500000,0.000000
12.500000,0.000000
11.111111,0.000000
9.722222,0.000000
8.333333,0.000000
6.944444,0.000000
5.555556,0.000000
4.166667,0.000000
2.777778,0.000000
1.388889,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.972222,0.000000
1.944444,0.000000
2.916667,0.000000
3.888889,0.000000
4.861111,0.000000
5.833333,0.000000
6.805556,0.000000
7.777778,0.000000
8.750000,0.000000
9.722222,0.000000
9.722222,0.000000
9.722222,0.000000
9.722222,0.000000
9.722222,0.000000
9.722222,0.000000
9.722222,0.000000
9.722222,0.000000
9.722222,0.000000
9.722222,0.000000
9.722222,0.000000
9.722222,0.000000
9.722222,0.000000
9.722222,0.000000
9.722222,0.000000
9.722222,0.000000
8.506944,0.000000
7.291667,0.000000
6.076389,0.000000
4.861111,0.000000
3.645833,0.000000
2.430556,0.000000
1.215278,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.992063,0.000000
1.984127,0.000000
2.976190,0.000000
3.968254,0.000000
4.960317,0.000000
5.952381,0.000000
6.944444,0.000000
7.936508,0.000000
8.928571,0.000000
9.920635,0.000000
10.912698,0.000000
11.904762,0.000000
12.896825,0.000000
13.888889,0.000000
13.888889,0.000000
13.888889,0.000000
13.888889,0.000000
13.888889,0.000000
13.888889,0.000000
13.888889,0.000000
13.888889,0.000000
13.888889,0.000000
13.888889,0.000000
13.888889,0.000000
13.888889,0.000000
13.888889,0.000000
13.888889,0.000000
13.888889,0.000000
13.888889,0.000000
13.888889,0.000000
13.888889,0.000000
13.888889,0.000000
13.888889,0.000000
13.888889,0.000000
13.888889,0.000000
13.888889,0.000000
13.888889,0.000000
13.888889,0.000000
13.888889,0.000000
12.626263,0.000000
11.363636,0.000000
10.101010,0.000000
8.838384,0.000000
7.575758,0.000000
6.313131,0.000000
5.050505,0.000000
3.787879,0.000000
2.525253,0.000000
1.262626,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
1.010101,0.000000
2.020202,0.000000
3.030303,0.000000
4.040404,0.000000
5.050505,0.000000
6.060606,0.000000
7.070707,0.000000
8.080808,0.000000
9.090909,0.000000
10.101010,0.000000
11.111111,0.000000
11.111111,0.000000
11.111111,0.000000
11.111111,0.000000
11.111111,0.000000
11.111111,0.000000
11.111111,0.000000
11.111111,0.000000
11.111111,0.000000
11.111111,0.000000
11.111111,0.000000
11.111111,0.000000
11.111111,0.000000
11.111111,0.000000
11.111111,0.000000
11.111111,0.000000
11.111111,0.000000
11.111111,0.000000
11.111111,0.000000
9.876543,0.000000
8.641975,0.000000
7.407407,0.000000
6.172840,0.000000
4.938272,0.000000
3.703704,0.000000
2.469136,0.000000
1.234568,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.694444,0.000000
1.388889,0.000000
2.083333,0.000000
2.777778,0.000000
3.472222,0.000000
4.166667,0.000000
4.166667,0.000000
4.166667,0.000000
4.166667,0.000000
4.166667,0.000000
4.166667,0.000000
4.166667,0.000000
4.166667,0.000000
4.166667,0.000000
3.333333,0.000000
2.500000,0.000000
1.666667,0.000000
0.833333,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.555556,0.000000
1.111111,0.000000
1.666667,0.000000
2.222222,0.000000
2.777778,0.000000
3.333333,0.000000
3.333333,0.000000
3.333333,0.000000
3.333333,0.000000
3.333333,0.000000
3.333333,0.000000
3.333333,0.000000
3.333333,0.000000
3.333333,0.000000
2.666667,0.000000
2.000000,0.000000
1.333333,0.000000
0.666667,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.833333,0.000000
1.666667,0.000000
2.500000,0.000000
3.333333,0.000000
4.166667,0.000000
5.000000,0.000000
5.000000,0.000000
5.000000,0.000000
5.000000,0.000000
5.000000,0.000000
5.000000,0.000000
5.000000,0.000000
5.000000,0.000000
5.000000,0.000000
4.000000,0.000000
3.000000,0.000000
2.000000,0.000000
1.000000,0.000000
0.000000,0.000000
0.000000,0.000000
